date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:38	17618/17618	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2004:23:36%20GMT	https://html.design/demo/eventon_christmas/	D:/template/mry/html.design/demo/eventon_christmas/index.html	(from )
11:23:38	119/119	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Dec%202024%2004:23:36%20GMT	https://html.design/robots.txt		(from )
11:23:38	140421/140421	---MCZ	200	added ('OK')	text/css	etag:W/%225cbb10a1-22485%22	https://html.design/demo/eventon_christmas/css/bootstrap.min.css	D:/template/mry/html.design/demo/eventon_christmas/css/bootstrap.min.css	(from https://html.design/demo/eventon_christmas/)
11:23:38	41279/41279	---MCZ	200	added ('OK')	text/css	etag:W/%225cbb10a2-a13f%22	https://html.design/demo/eventon_christmas/css/pogo-slider.min.css	D:/template/mry/html.design/demo/eventon_christmas/css/pogo-slider.min.css	(from https://html.design/demo/eventon_christmas/)
11:23:38	28414/28414	---MCZ	200	added ('OK')	text/css	etag:W/%225cbb10a2-6efe%22	https://html.design/demo/eventon_christmas/css/style.css	D:/template/mry/html.design/demo/eventon_christmas/css/style.css	(from https://html.design/demo/eventon_christmas/)
11:23:39	2741/2741	---MCZ	200	added ('OK')	text/css	etag:W/%225cbb10a2-ab5%22	https://html.design/demo/eventon_christmas/css/responsive.css	D:/template/mry/html.design/demo/eventon_christmas/css/responsive.css	(from https://html.design/demo/eventon_christmas/)
11:23:39	36/36	---MCZ	200	added ('OK')	text/css	etag:W/%225cbb10a1-24%22	https://html.design/demo/eventon_christmas/css/custom.css	D:/template/mry/html.design/demo/eventon_christmas/css/custom.css	(from https://html.design/demo/eventon_christmas/)
11:23:39	17618/17618	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Nov%202021%2011:14:02%20GMT	https://html.design/demo/eventon_christmas/index.html	D:/template/mry/html.design/demo/eventon_christmas/index-2.html	(from https://html.design/demo/eventon_christmas/)
11:23:39	25860/25860	---M--	200	added ('OK')	image/png	etag:%225cbb10ab-6504%22	https://html.design/demo/eventon_christmas/images/logo.png	D:/template/mry/html.design/demo/eventon_christmas/images/logo.png	(from https://html.design/demo/eventon_christmas/)
11:23:40	726115/726115	---M--	200	added ('OK')	image/jpeg	etag:%225cbb10ae-b1463%22	https://html.design/demo/eventon_christmas/images/slider-01.jpg	D:/template/mry/html.design/demo/eventon_christmas/images/slider-01.jpg	(from https://html.design/demo/eventon_christmas/)
11:23:40	5054/5054	---M--	200	added ('OK')	image/png	etag:%225cbb10ab-13be%22	https://html.design/demo/eventon_christmas/images/head_s.png	D:/template/mry/html.design/demo/eventon_christmas/images/head_s.png	(from https://html.design/demo/eventon_christmas/)
