date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:39:05	14983/14983	---MCZ	200	added ('OK')	text/html	etag:W/%2263b68bb5-3a87%22	https://htmldemo.net/destry/tf.html	D:/template/template-fashion/htmldemo.net/destry/tf.html	(from )
22:39:06	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2015:39:04%20GMT	https://htmldemo.net/robots.txt		(from )
22:39:06	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263b68d1f-47e%22	https://htmldemo.net/destry/p2/img/favicon.ico	D:/template/template-fashion/htmldemo.net/destry/p2/img/favicon.ico	(from https://htmldemo.net/destry/tf.html)
22:39:07	31002/31002	---MCZ	200	added ('OK')	text/css	etag:W/%2263b68d0c-791a%22	https://htmldemo.net/destry/p2/css/font.awesome.min.css	D:/template/template-fashion/htmldemo.net/destry/p2/css/font.awesome.min.css	(from https://htmldemo.net/destry/tf.html)
22:39:07	160409/160409	---MCZ	200	added ('OK')	text/css	etag:W/%2263b68d0a-27299%22	https://htmldemo.net/destry/p2/css/bootstrap.min.css	D:/template/template-fashion/htmldemo.net/destry/p2/css/bootstrap.min.css	(from https://htmldemo.net/destry/tf.html)
22:39:07	7410/7410	---MCZ	200	added ('OK')	text/css	etag:W/%2263b68d0c-1cf2%22	https://htmldemo.net/destry/p2/css/et-line.css	D:/template/template-fashion/htmldemo.net/destry/p2/css/et-line.css	(from https://htmldemo.net/destry/tf.html)
22:39:07	25396/25396	---MCZ	200	added ('OK')	text/css	etag:W/%2263b68d0e-6334%22	https://htmldemo.net/destry/p2/css/plugins.css	D:/template/template-fashion/htmldemo.net/destry/p2/css/plugins.css	(from https://htmldemo.net/destry/tf.html)
22:39:08	21615/21615	---MCZ	200	added ('OK')	text/css	etag:W/%2263b68d0a-546f%22	https://htmldemo.net/destry/p2/style.css	D:/template/template-fashion/htmldemo.net/destry/p2/style.css	(from https://htmldemo.net/destry/tf.html)
22:39:08	1814/1814	---MCZ	200	added ('OK')	text/css	etag:W/%2263b68d0e-716%22	https://htmldemo.net/destry/p2/css/responsive.css	D:/template/template-fashion/htmldemo.net/destry/p2/css/responsive.css	(from https://htmldemo.net/destry/tf.html)
22:39:08	15518/15518	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263b68d39-3c9e%22	https://htmldemo.net/destry/p2/js/vendor/modernizr-2.8.3.min.js	D:/template/template-fashion/htmldemo.net/destry/p2/js/vendor/modernizr-2.8.3.min.js	(from https://htmldemo.net/destry/tf.html)
22:39:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2026%20Aug%202024%2015:39:07%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/template/template-fashion/www.googletagmanager.com/gtm.95445.delayed	(from https://htmldemo.net/destry/tf.html)
22:39:09	165037/165037	---MCZ	200	added ('OK')	text/html	etag:W/%2263b68bc8-284ad%22	https://htmldemo.net/destry/destry/index.html	D:/template/template-fashion/htmldemo.net/destry/destry/index.html	(from https://htmldemo.net/destry/tf.html)
22:39:09	1822/1822	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Aug%202024%2015:39:08%20GMT	https://htmldemo.net/destry/p2/img/destry/preview-head-white.png	D:/template/template-fashion/htmldemo.net/destry/p2/img/destry/preview-head-white.png	(from https://htmldemo.net/destry/tf.html)
22:39:10	2066/2066	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Aug%202024%2015:39:08%20GMT	https://htmldemo.net/destry/p2/img/destry/preview-head-black.png	D:/template/template-fashion/htmldemo.net/destry/p2/img/destry/preview-head-black.png	(from https://htmldemo.net/destry/tf.html)
22:39:11	232324/232324	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Aug%202024%2015:39:09%20GMT	https://htmldemo.net/destry/p2/img/destry/slider-landing.jpg	D:/template/template-fashion/htmldemo.net/destry/p2/img/destry/slider-landing.jpg	(from https://htmldemo.net/destry/tf.html)
22:39:11	172155/172155	---MCZ	200	added ('OK')	text/html	etag:W/%2263b68bc6-2a07b%22	https://htmldemo.net/destry/destry/index-2.html	D:/template/template-fashion/htmldemo.net/destry/destry/index-2.html	(from https://htmldemo.net/destry/tf.html)
22:39:11	127032/127032	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Aug%202024%2015:39:09%20GMT	https://htmldemo.net/destry/p2/img/destry/home-1.png	D:/template/template-fashion/htmldemo.net/destry/p2/img/destry/home-1.png	(from https://htmldemo.net/destry/tf.html)
22:39:11	85193/85193	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Aug%202024%2015:39:09%20GMT	https://htmldemo.net/destry/p2/img/destry/home-2.png	D:/template/template-fashion/htmldemo.net/destry/p2/img/destry/home-2.png	(from https://htmldemo.net/destry/tf.html)
22:39:11	90210/90210	---MCZ	200	added ('OK')	text/html	etag:W/%2263b68bcb-16062%22	https://htmldemo.net/destry/destry/shop-grid.html	D:/template/template-fashion/htmldemo.net/destry/destry/shop-grid.html	(from https://htmldemo.net/destry/tf.html)
22:39:12	63800/63800	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Aug%202024%2015:39:10%20GMT	https://htmldemo.net/destry/p2/img/destry/shop.png	D:/template/template-fashion/htmldemo.net/destry/p2/img/destry/shop.png	(from https://htmldemo.net/destry/tf.html)
22:39:12	88538/88538	---MCZ	200	added ('OK')	text/html	etag:W/%2263b68bdf-159da%22	https://htmldemo.net/destry/destry/single-product.html	D:/template/template-fashion/htmldemo.net/destry/destry/single-product.html	(from https://htmldemo.net/destry/tf.html)
22:39:12	62336/62336	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Aug%202024%2015:39:11%20GMT	https://htmldemo.net/destry/p2/img/destry/single-product.png	D:/template/template-fashion/htmldemo.net/destry/p2/img/destry/single-product.png	(from https://htmldemo.net/destry/tf.html)
22:39:12	49093/49093	---MCZ	200	added ('OK')	text/html	etag:W/%2263b68bbf-bfc5%22	https://htmldemo.net/destry/destry/blog.html	D:/template/template-fashion/htmldemo.net/destry/destry/blog.html	(from https://htmldemo.net/destry/tf.html)
22:39:13	112991/112991	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Aug%202024%2015:39:11%20GMT	https://htmldemo.net/destry/p2/img/destry/blog.png	D:/template/template-fashion/htmldemo.net/destry/p2/img/destry/blog.png	(from https://htmldemo.net/destry/tf.html)
